name	addr	size	len	scr
Upgrades.dat - Race	0x655BFC	1	61	Simple Data
Portdata.dat - Idle SMK	0x655C58	4	110	Backed By Code
Portdata.dat - Idle SMK Change	0x655E10	1	110	
Portdata.dat - Talking SMK	0x655E80	4	110	Backed By Code
Portdata.dat - Idle Unknown	0x656038	1	110	
Portdata.dat - Talking SMK change	0x6560A8	1	110	
Portdata.dat - Talking unknown	0x656118	1	110	
Techdata.dat - Unknown1	0x656198	2	44	Simple Data
Techdata.dat - Gas Cost	0x6561F0	2	44	Simple Data
Techdata.dat - Mineral Cost	0x656248	2	44	Simple Data
Techdata.dat - Label	0x6562A0	2	44	Simple Data
Techdata.dat - Data Restrictions	0x6562F8	2	44	Simple Data
Techdata.dat - Researched	0x656350	1	44	Simple Data
Techdata.dat - Energy Cost	0x656380	2	44	Simple Data
Techdata.dat - Time	0x6563D8	2	44	Simple Data
Techdata.dat - Icon	0x656430	2	44	Simple Data
Techdata.dat - Race	0x656488	1	44	Simple Data
Techdata.dat - Brood War Flag	0x6564B4	1	44	Simple Data
Weapons.dat - Damage Factor	0x6564E0	1	130	Simple Data
Weapons.dat - Target Error Message	0x656568	2	130	Simple Data
Weapons.dat - Behavior	0x656670	1	130	Simple Data
Weapons.dat - Effect	0x6566F8	1	130	Simple Data
Weapons.dat - Icon	0x656780	2	130	Simple Data
Damage type/factor multipliers vs unit size	0x65678C	20	5	
Weapons.dat - Splash Inner Radius	0x656888	2	130	Simple Data
Weapons.dat - Attack Angle	0x656990	1	130	Simple Data
Weapons.dat - Minimum Range	0x656A18	4	130	Simple Data
Weapons.dat - Graphics Y Offset	0x656C20	1	130	Simple Data
Weapons.dat - Graphics	0x656CA8	4	130	Simple Data
Weapons.dat - Damage Amount	0x656EB0	2	130	Simple Data
Weapons.dat - Cooldown	0x656FB8	1	130	Simple Data
Weapons.dat - Remove After	0x657040	1	130	Simple Data
Weapons.dat - Splash Middle Radius	0x6570C8	2	130	Simple Data
Weapons.dat - Upgrade ID	0x6571D0	1	130	Simple Data
Weapons.dat - Damage Type	0x657258	1	130	Simple Data
Weapons.dat - Label	0x6572E0	2	130	Simple Data
Weapons.dat - Special Attack	0x6573E8	1	130	Simple Data
Weapons.dat - Maximum Range	0x657470	4	130	Simple Data
Weapons.dat - Upgrade Bonus	0x657678	2	130	Simple Data
Weapons.dat - Splash Outer Radius	0x657780	2	130	Simple Data
Weapons.dat - Launch Spin	0x657888	1	130	Simple Data
Weapons.dat - Graphics X Offset	0x657910	1	130	Simple Data
Weapons.dat - Target Flags	0x657998	2	130	Simple Data
Game Brightness	0x657A9C	4	1	Simple Data
Fog of War Masks	0x657AA0	1	4096	Backed By Code
Units.dat - Max Hits (Air)	0x65FC18	1	228	Simple Data
Units.dat - Gas Cost	0x65FD00	2	228	Simple Data
Units.dat - Armor	0x65FEC8	1	228	Simple Data
"Units.dat - ""What"" Sound Start"	0x65FFB0	2	228	Simple Data
Units.dat - Computer AI Unit Type	0x660178	1	228	Simple Data
Units.dat - Map String	0x660260	2	228	Simple Data
Units.dat - Build Time	0x660428	2	228	Simple Data
Units.dat - Start Direction	0x6605F0	1	228	Simple Data
Units.dat - Brood War Flag	0x6606D8	1	228	Simple Data
Units.dat - Subunit 1	0x6607C0	2	228	Simple Data
Units.dat - Transport Space Provided	0x660988	1	228	Simple Data
Units.dat - Dat Requirement Offset	0x660A70	2	228	Simple Data
Units.dat - Subunit 2	0x660C38	2	228	Simple Data
Units.dat - Shield Amount	0x660E00	2	228	Simple Data
Units.dat - Movement Flags	0x660FC8	1	228	Simple Data
Units.dat - Construction Animation	0x6610B0	4	228	Simple Data
"Units.dat - ""Yes"" Sound End"	0x661440	2	106	Simple Data
Units.dat - Staredit Availability Flags	0x661518	2	228	Simple Data
Units.dat - Air Weapon	0x6616E0	1	228	Simple Data
Units.dat - Unit Dimensions	0x6617C8	8	228	Simple Data
"Units.dat - ""Pissed"" Sound End"	0x661EE8	2	106	Simple Data
"Units.dat - ""Ready"" Sound"	0x661FC0	2	106	Simple Data
Units.dat - Right-click Action	0x662098	1	228	Simple Data
Units.dat - Size Class	0x662180	1	228	Simple Data
